code_rongeur;heligmosomoides_polygyrus;syphacia_stroma;syphacia_frederici;aspiculuris_tetraptera;hymenolepis_hiberna;trichuris;hydatigera_parva;skrjabinotaenia_lobata
NCHA100151;0;0;0;0;0;0;0;0
NCHA100153;74;257;0;0;0;0;0;0
NCHA100155;3;0;3;0;0;0;0;0
NCHA100156;3;0;0;0;0;0;0;0
NCHA100157;3;38;0;0;0;0;0;0
NCHA100162;62;0;0;0;0;0;0;0
NCHA100163;6;0;0;0;0;0;0;0
NCHA100166;6;0;0;0;0;0;0;0
NCHA100167;12;32;0;0;0;0;0;0
NCHA100170;43;0;0;0;0;0;0;0
NCHA100173;2;238;0;0;0;0;0;0
NCHA100174;21;53;0;0;0;0;0;0
NCHA100175;27;0;0;0;0;0;0;0
NCHA100176;8;0;93;0;0;0;0;0
NCHA100177;30;0;0;0;0;0;0;0
NCHA100181;4;0;0;0;0;0;0;0
NCHA100183;0;0;0;0;0;0;0;0
NCHA100184;3;150;0;1;0;0;0;0
NCHA100188;0;0;0;0;0;0;0;0
NCHA100189;0;141;0;0;0;0;0;0
NCHA100190;0;0;0;0;0;0;0;0
NCHA100192;57;0;0;0;0;0;0;0
NCHA100195;88;119;0;0;0;0;0;0
NCHA100196;35;0;54;0;1;0;0;0
NCHA100199;14;0;0;0;0;0;0;0
NCHA100200;0;0;3;0;0;0;0;0
NCHA100201;9;18;0;0;0;0;0;0
NCHA100203;4;0;0;0;0;1;0;0
NCHA100204;3;0;0;0;0;0;0;0
NCHA100205;6;0;0;0;0;0;0;0
NCHA100206;0;43;0;0;0;0;0;0
NCHA100207;34;0;0;0;0;0;0;0
NCHA100210;16;534;0;0;0;0;0;0
NCHA100211;3;1;0;0;0;0;0;0
NCHA100212;8;0;0;0;0;0;0;0
NCHA100213;3;0;3;0;0;0;0;0
NCHA100214;3;0;0;0;0;0;0;0
NCHA100215;0;0;0;0;0;0;0;0
NCHA100216;1;0;0;0;0;0;0;0
NCHA100217;1;0;0;0;0;0;0;0
NCHA100218;1;2;0;0;0;0;0;0
NCHA100219;7;0;12;0;0;0;0;0
NCHA100220;12;0;16;0;0;0;13;0
NCHA100221;0;0;0;0;0;0;0;0
NCHA100223;5;74;0;0;0;0;0;0
NCHA100224;13;0;0;0;0;0;0;0
NCHA100225;41;0;4;0;0;0;0;0
NCHA100226;75;15;3;0;0;0;0;0
NCHA100227;13;32;0;0;0;0;0;0
NCHA100228;4;2;0;0;0;0;0;0
NCHA100230;32;0;272;0;0;0;0;0
NCHA100231;6;120;0;0;0;0;0;0
NCHA100233;0;0;0;0;0;0;0;0
NCHA100234;12;0;0;0;0;0;0;0
NCHA100235;1;34;0;0;0;0;0;0
NCHA100238;0;0;4;0;0;0;0;0
NCHA100240;1;0;0;0;0;0;0;0
NCHA100241;0;0;318;0;0;0;0;0
NCHA100242;4;0;0;0;0;0;0;0
NCHA100243;10;0;98;0;0;0;0;0
NCHA100244;7;0;12;0;0;0;0;0
NCHA100245;7;0;189;0;0;0;0;0
NCHA100247;8;0;0;0;0;0;0;0
NCHA100248;4;0;0;0;0;0;0;0
NCHA100249;2;75;0;0;0;0;0;0
NCHA100250;6;18;0;0;0;0;0;0
NCHA100251;1;2;0;0;0;0;0;0
NCHA100252;0;0;2;0;0;0;0;0
NCHA100253;3;0;0;0;0;0;0;0
NCHA100255;79;0;739;0;0;0;0;0
NCHA100256;6;0;0;0;0;0;0;0
NCHA100257;22;0;70;0;0;0;0;0
NCHA100258;2;2;103;0;0;0;0;0
NCHA100259;5;0;4;0;0;0;0;0
NCHA100260;0;0;28;0;0;0;0;0
NCHA100261;9;0;2;0;0;0;0;0
NCHA100262;7;5;0;0;0;0;0;0
NCHA100264;4;0;0;0;0;0;0;0
NCHA100265;0;0;0;0;0;0;0;0
NCHA100268;2;20;0;0;0;0;0;0
NCHA100271;3;0;0;0;0;0;0;0
NCHA100275;1;0;0;0;0;0;0;0
NCHA100280;5;526;0;0;0;0;0;0
NCHA100284;12;0;0;0;0;0;0;0
NCHA100285;1;51;0;0;0;0;0;0
NCHA100290;0;0;0;0;0;0;0;1
NCHA100291;0;0;0;0;0;0;0;0
NCHA100292;2;66;0;0;0;0;0;0
NCHA100293;3;0;0;0;0;0;0;0
NCHA100294;0;0;0;0;0;0;0;0
NCHA100296;0;0;0;0;0;0;0;0
NCHA100298;1;41;0;0;0;0;0;0
NCHA100299;1;60;0;0;0;0;0;0
NCHA100304;1;0;0;0;0;0;0;0
NCHA100308;3;133;0;0;0;0;0;0
NCHA100309;3;5;0;0;0;0;0;0
NCHA100311;2;12;0;0;0;0;0;0
NCHA100312;3;0;0;0;0;0;0;0
NCHA100313;4;0;0;0;0;0;0;0
NCHA100314;0;0;0;0;0;0;0;0
NCHA100316;2;0;0;0;0;0;0;0
NCHA100317;1;0;11;0;0;0;0;0
NCHA100318;13;0;0;0;0;0;0;0
NCHA100319;4;0;0;0;0;0;0;0
NCHA100320;3;0;0;0;0;0;0;0
NCHA100321;68;0;1;0;0;0;0;0
NCHA100322;2;638;0;0;0;0;0;0
NCHA100323;44;0;446;0;0;0;0;2
NCHA100324;3;0;0;0;0;0;0;0
NCHA100325;4;0;1;0;0;0;0;0
NCHA100327;0;0;0;0;0;0;0;0
NCHA100328;2;0;11;0;0;0;0;0
NCHA100329;3;484;0;0;0;0;0;0
NCHA100330;0;3;0;0;0;0;0;0
NCHA100331;0;6;0;0;0;0;0;0
