"code_rongeur","syphacia_stroma","heligmosomoides_polygyrus","hymenolepis_hiberna","syphacia_frederici","trichuris","hydatigera_parva","aspiculuris_tetraptera","skrjabinotaenia_lobata","numero_ligne","demogroup","sexe","gestation","SMI","poids","longueur_tete_corps","richesse_spe_AP","habitat1","habitat2","richesse","shannon","simpson"
"NCHA100151",0,0,0,0,0,0,0,0,4,"adult","M","non",19.9343428913809,23.2,95,0,"haie","NC_HB",0,NA,NA
"NCHA100153",5.55295958492162,4.31748811353631,0,0,0,0,0,0,4,"adult","F","non",19.7106847296701,25.7,99,1,"haie","NC_HB",2,0.685292989801205,0.492166393647221
"NCHA100155",0,1.38629436111989,0,1.38629436111989,0,0,0,0,4,"adult","M","non",20.0197160096247,16.6,84,1,"haie","NC_HB",2,0.693147180559945,0.5
"NCHA100156",0,1.38629436111989,0,0,0,0,0,0,4,"adult","F","non",19.6800022652949,21.6,93,2,"haie","NC_HB",1,0,0
"NCHA100157",3.66356164612965,1.38629436111989,0,0,0,0,0,0,7,"adult","M","non",20.524044319371,23.2,94,6,"haie","C_LB",2,0.587704405443146,0.398318948375415
"NCHA100162",0,4.14313472639153,0,0,0,0,0,0,7,"adult","F","non",18.6725391522082,17.6,88,0,"haie","C_LB",1,0,0
"NCHA100163",0,1.94591014905531,0,0,0,0,0,0,7,"adult","F","non",20.1789664145738,12.7,76,1,"haie","C_LB",1,0,0
"NCHA100166",0,1.94591014905531,0,0,0,0,0,0,38,"adult","F","non",17.7369788328772,16.2,87,1,"feuillus","B",1,0,0
"NCHA100167",3.49650756146648,2.56494935746154,0,0,0,0,0,0,1,"adult","F","non",20.2266689948864,22.2,93,1,"haie","NC_LB",2,0.681290625976691,0.488190379318499
"NCHA100170",0,3.78418963391826,0,0,0,0,0,0,9,"adult","M","non",20.3639623502468,23.7,95,4,"haie","NC_LB",1,0,0
"NCHA100173",5.47646355193151,1.09861228866811,0,0,0,0,0,0,3,"subadult","M","non",19.1440700343709,16.4,85,0,"haie","NC_HB",2,0.451237706845592,0.278338393757378
"NCHA100174",3.98898404656427,3.09104245335832,0,0,0,0,0,0,3,"adult","F","oui",16.7080656014578,17.8,92,3,"haie","NC_HB",2,0.685082880493722,0.491957401000213
"NCHA100175",0,3.3322045101752,0,0,0,0,0,0,3,"adult","F","oui",24.1333889413197,24.2,90,1,"haie","NC_HB",1,0,0
"NCHA100176",0,2.19722457733622,0,4.54329478227,0,0,0,0,9,"adult","F","non",18.3877128394634,21.4,95,1,"haie","NC_LB",2,0.631289729970488,0.439428923589095
"NCHA100177",0,3.43398720448515,0,0,0,0,0,0,5,"adult","M","non",20.2175533872845,20.9,91,0,"pins","CT_LB",1,0,0
"NCHA100181",0,1.6094379124341,0,0,0,0,0,0,7,"adult","F","oui",26.8922480462445,27.8,91,1,"haie","C_LB",1,0,0
"NCHA100183",0,0,0,0,0,0,0,0,1,"subadult","M","non",22.4833115914563,15.2,78,0,"haie","NC_LB",0,NA,NA
"NCHA100184",5.01727983681492,1.38629436111989,0,0,0,0,0.693147180559945,0,1,"adult","F","oui",19.2280496242187,23.7,97,1,"haie","NC_LB",3,0.79133652151264,0.452472782086983
"NCHA100188",0,0,0,0,0,0,0,0,44,"adult","M","non",18.3124016125422,20.7,94,1,"feuillus","B",0,NA,NA
"NCHA100189",4.95582705760126,0,0,0,0,0,0,0,44,"adult","M","non",17.8648457949589,21.4,96,2,"feuillus","B",1,0,0
"NCHA100190",0,0,0,0,0,0,0,0,44,"adult","F","non",19.2029403642994,14.9,82,1,"feuillus","B",0,NA,NA
"NCHA100192",0,4.06044301054642,0,0,0,0,0,0,4,"adult","M","non",19.0422244141048,20.9,93,1,"haie","NC_HB",1,0,0
"NCHA100195",4.78749174278205,4.48863636973214,0,0,0,0,0,0,4,"adult","F","non",19.6800022652949,21.6,93,1,"haie","NC_HB",2,0.692628101127594,0.499481010388353
"NCHA100196",0,3.58351893845611,0.693147180559945,4.00733318523247,0,0,0,0,7,"adult","M","non",20.26834826789,31.9,106,4,"haie","C_LB",3,0.921370264496927,0.571862550554898
"NCHA100199",0,2.70805020110221,0,0,0,0,0,0,2,"adult","F","oui",19.7338798612729,20.4,91,0,"haie","C_HB",1,0,0
"NCHA100200",0,0,0,1.38629436111989,0,0,0,0,7,"adult","M","non",20.5684372077378,20,89,1,"haie","C_LB",1,0,0
"NCHA100201",2.94443897916644,2.30258509299405,0,0,0,0,0,0,44,"adult","F","oui",20.7076579173396,24.1,95,2,"feuillus","B",2,0.685646433183398,0.492518025200348
"NCHA100203",0,1.6094379124341,0,0,0.693147180559945,0,0,0,38,"adult","F","oui",20.7935818091128,24.2,95,1,"feuillus","B",2,0.61173449089421,0.420821874749049
"NCHA100204",0,1.38629436111989,0,0,0,0,0,0,7,"adult","M","non",17.9718904789278,15.9,86,0,"haie","C_LB",1,0,0
"NCHA100205",0,1.94591014905531,0,0,0,0,0,0,7,"adult","F","oui",19.5906473242881,22.8,95,3,"haie","C_LB",1,0,0
"NCHA100206",3.78418963391826,0,0,0,0,0,0,0,9,"adult","M","non",13.9196704672573,16.2,95,0,"haie","NC_LB",1,0,0
"NCHA100207",0,3.55534806148941,0,0,0,0,0,0,12,"adult","F","non",18.8847270971197,17.8,88,2,"haie","C_LB",1,0,0
"NCHA100210",6.28226674689601,2.83321334405622,0,0,0,0,0,0,12,"adult","F","non",21.4528180623384,27.2,98,2,"haie","C_LB",2,0.619749934278394,0.428416859462071
"NCHA100211",0.693147180559945,1.38629436111989,0,0,0,0,0,0,13,"subadult","M","non",19.5982667350927,17.9,87,2,"haie","NC_HB",2,0.636514168294813,0.444444444444444
"NCHA100212",0,2.19722457733622,0,0,0,0,0,0,13,"subadult","F","non",18.3493535752183,18.4,90,3,"haie","NC_HB",1,0,0
"NCHA100213",0,1.38629436111989,0,1.38629436111989,0,0,0,0,13,"adult","M","non",19.0422244141048,20.9,93,3,"haie","NC_HB",2,0.693147180559945,0.5
"NCHA100214",0,1.38629436111989,0,0,0,0,0,0,13,"subadult","F","non",19.1021980562188,16.9,86,3,"haie","NC_HB",1,0,0
"NCHA100215",0,0,0,0,0,0,0,0,16,"subadult","M","non",19.3343309752735,18.8,89,0,"haie","NC_LB",0,NA,NA
"NCHA100216",0,0.693147180559945,0,0,0,0,0,0,16,"adult","F","non",22.0824401857107,25.7,95,1,"haie","NC_LB",1,0,0
"NCHA100217",0,0.693147180559945,0,0,0,0,0,0,15,"subadult","F","non",20.554709220107,14.9,80,0,"pins","CT_LB",1,0,0
"NCHA100218",1.09861228866811,0.693147180559945,0,0,0,0,0,0,42,"adult","F","non",19.5460505475152,19.6,90,0,"feuillus","B",2,0.667319471508538,0.474395425538592
"NCHA100219",0,2.07944154167984,0,2.56494935746154,0,0,0,0,36,"adult","M","non",19.9518604906317,23.9,96,3,"haie","C_LB",2,0.687673257843934,0.494536072540905
"NCHA100220",0,2.56494935746154,0,2.83321334405622,0,2.63905732961526,0,0,36,"adult","F","non",21.7088491480231,29.1,100,1,"haie","C_LB",3,1.09772667199821,0.666072447720179
"NCHA100221",0,0,0,0,0,0,0,0,36,"adult","F","non",18.8828305039469,28.2,104,2,"haie","C_LB",0,NA,NA
"NCHA100223",4.31748811353631,1.79175946922805,0,0,0,0,0,0,6,"subadult","M","non",17.604675946357,19.9,94,2,"haie","C_HB",2,0.605068137954728,0.414539007493458
"NCHA100224",0,2.63905732961526,0,0,0,0,0,0,10,"adult","F","non",17.8577798333232,19.6,93,1,"pins","CT_LB",1,0,0
"NCHA100225",0,3.73766961828337,0,1.6094379124341,0,0,0,0,6,"adult","F","non",21.28163514451,22,91,1,"haie","C_HB",2,0.611702688397783,0.42079182876166
"NCHA100226",2.77258872223978,4.33073334028633,0,1.38629436111989,0,0,0,0,6,"adult","M","non",18.2979918767004,23.2,98,4,"haie","C_HB",3,1.00475708432294,0.606453449654048
"NCHA100227",3.49650756146648,2.63905732961526,0,0,0,0,0,0,10,"adult","M","non",16.9166022045089,24.6,103,1,"pins","CT_LB",2,0.683349997579829,0.490234853991594
"NCHA100228",1.09861228866811,1.6094379124341,0,0,0,0,0,0,10,"adult","F","non",18.7631057830315,16.6,86,2,"pins","CT_LB",2,0.675249077944112,0.482208935651927
"NCHA100230",0,3.49650756146648,0,5.60947179518496,0,0,0,0,36,"adult","F","non",16.4127880628381,21.4,99,1,"haie","C_LB",2,0.665978624515173,0.473078393440182
"NCHA100231",4.79579054559674,1.94591014905531,0,0,0,0,0,0,43,"adult","M","non",20.585240861288,26.1,98,1,"feuillus","B",2,0.600927546080299,0.410652102558672
"NCHA100233",0,0,0,0,0,0,0,0,11,"adult","F","non",23.0625955973316,17.3,81,1,"haie","C_LB",0,NA,NA
"NCHA100234",0,2.56494935746154,0,0,0,0,0,0,36,"adult","M","non",21.5808489453256,26.6,97,3,"haie","C_LB",1,0,0
"NCHA100235",3.55534806148941,0.693147180559945,0,0,0,0,0,0,12,"adult","M","non",19.0969150420311,18,88,1,"haie","C_LB",2,0.44485857203887,0.273065798398587
