priority;code_mission;year;season;localite;date_pose;numero_ligne;date_releve;numero_releve;numero_piege;trap_type;latitude_piege;longitude_piege;code_resultat;abbrev_resultat;resultat;numero_terrain;commentaire;taxon_capture;numero_centre;date_dissection;observations;sexe;poids;demogroup;longueur_tete_corps;longueur_queue;testicules;testicules_longueur;vesicule_seminale_taille;vulve_ouverte;lactation;cicatrices_placentaires_presentes;gestation;uterus;taxon_mamm;type;PCA_axis2;PCA_axis1;connectivity;treatment;hedgerow;category;broadleaved_class
5,13;Septembre_2024;2024;Autumn;FRA - BePrep - 4;23/09/2024;4;24/09/2024;1;4;INRA;44.5754718;-0.6019155;1;capture;capture;NCHA100151;Mulot;;NCHA100151;24/09/2024;2 tiques;M;23.2;adult;95;87;-;6;+;;;;;;Apodemus sylvaticus;NC_HB;-0.0139154501746544;1.61562865798644;NC;NC;Yes;hedgerows;HB
5,13;Septembre_2024;2024;Autumn;FRA - BePrep - 4;23/09/2024;4;24/09/2024;1;6;INRA;44.5756177;-0.6019003;1;capture;capture;NCHA100153;Mulot;;NCHA100153;24/09/2024;11 tiques;F;25.7;adult;99;94;;;;-;+;+;-;+;Apodemus sylvaticus;NC_HB;-0.0139154501746544;1.61562865798644;NC;NC;Yes;hedgerows;HB
5,13;Septembre_2024;2024;Autumn;FRA - BePrep - 4;23/09/2024;4;24/09/2024;1;15;INRA;44.5761397;-0.6016269;1;capture;capture;NCHA100155;Mulot;;NCHA100155;24/09/2024;2 tiques;M;16.6;adult;84;83;+;10;-;;;;;;Apodemus sylvaticus;NC_HB;-0.0139154501746544;1.61562865798644;NC;NC;Yes;hedgerows;HB
5,13;Septembre_2024;2024;Autumn;FRA - BePrep - 4;23/09/2024;4;24/09/2024;1;16;INRA;44.5762095;-0.601578;1;capture;capture;NCHA100156;Mulot;;NCHA100156;24/09/2024;;F;21.6;adult;93;95;;;;-;+;+;-;+;Apodemus sylvaticus;NC_HB;-0.0139154501746544;1.61562865798644;NC;NC;Yes;hedgerows;HB
5,13;Septembre_2024;2024;Autumn;FRA - BePrep - 7;23/09/2024;7;24/09/2024;1;1;INRA;44.6070936;-0.6223847;1;capture;capture;NCHA100157;Mulot;;NCHA100157;24/09/2024;4 tiques;M;23.2;adult;94;89;+;11;+;;;;;;Apodemus sylvaticus;C_LB;2.62784420318873;0.110090629582909;C;C;Yes;hedgerows;LB
5,13;Septembre_2024;2024;Autumn;FRA - BePrep - 7;23/09/2024;7;24/09/2024;1;8;INRA;44.6073625;-0.6226079;1;capture;capture;NCHA100162;Mulot;;NCHA100162;24/09/2024;;F;17.6;adult;88;83;;;;+;-;-;-;+;Apodemus sylvaticus;C_LB;2.62784420318873;0.110090629582909;C;C;Yes;hedgerows;LB
5,13;Septembre_2024;2024;Autumn;FRA - BePrep - 7;23/09/2024;7;24/09/2024;1;12;INRA;44.6075573;-0.6227478;1;capture;capture;NCHA100163;Mulot;;NCHA100163;24/09/2024;2 tiques;F;12.7;adult;76;78;;;;+;-;;-;+;Apodemus sylvaticus;C_LB;2.62784420318873;0.110090629582909;C;C;Yes;hedgerows;LB
5,13;Septembre_2024;2024;Autumn;FRA - BePrep - 38;23/09/2024;38;24/09/2024;1;14;INRA;44.6592033;-0.5729629;1;capture;capture;NCHA100166;mulot;;NCHA100166;24/09/2024;queue coupee;F;16.2;adult;87;;;;;+;+;+;-;+;Apodemus sylvaticus;B;;;NA;B;No;broadleaved_forest;B
5,13;Septembre_2024;2024;Autumn;FRA - BePrep - 1;23/09/2024;1;24/09/2024;1;18;INRA;44.6163246;-0.5585635;1;capture;capture;NCHA100167;mulot;;NCHA100167;24/09/2024;1 tique;F;22.2;adult;93;92;;;;-;-;+;-;+;Apodemus sylvaticus;NC_LB;-0.247147436579861;0.708253161846475;NC;NC;Yes;hedgerows;LB
5,13;Septembre_2024;2024;Autumn;FRA - BePrep - 9;23/09/2024;9;24/09/2024;1;8;INRA;44.5749738;-0.5604357;1;capture;capture;NCHA100170;Mulot;;NCHA100170;24/09/2024;20 tiques;M;23.7;adult;95;81;-;12;+;;;;;;Apodemus sylvaticus;NC_LB;0.347884947065335;1.0840139962278;NC;NC;Yes;hedgerows;LB
