numero_centre;Bartonella;Borrelia_miyamotoi;Borreliella;Ehrlichia;Leptospira;Metamycoplasma_sualvi;Mycoplasma;Mycoplasma_coccoides;Mycoplasma_haemomuris;Mycoplasma_penetrans;Mycoplasmopsis_columbina;Neisseria;Spiroplasma;Streptobacillus;Treponema;Bartonella_birtlesii;Bartonella_doshiae;Bartonella_elizabethae;Bartonella_grahamii;Bartonella_taylorii;Neoehrlichia_mikurensis;number_pathos
NCHA100002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCHA100004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2
NCHA100005;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3
NCHA100008;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;4
NCHA100007;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3
NCHA100020;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;4
NCHA100013;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;4
NCHA100016;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;3
NCHA100018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
NCHA100022;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;5
NCHA100021;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;4
NCHA100017;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
NCHA100019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3
NCHA100010;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;3
NCHA100009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCHA100000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;3
NCHA100011;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
NCHA100015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
NCHA100012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
NCHA100014;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
NCHA100006;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;5
NCHA100003;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2
NCHA100001;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;4
NCHA100024;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
NCHA100032;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NCHA100033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCHA100029;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NCHA100038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCHA100040;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;4
NCHA100053;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2
NCHA100054;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;3
NCHA100059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCHA100047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCHA100048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCHA100060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCHA100044;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
NCHA100063;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
NCHA100062;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
NCHA100049;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;3
NCHA100046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCHA100041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCHA100045;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;4
NCHA100052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCHA100074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
NCHA100023;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NCHA100073;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
NCHA100043;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
